engine_size,fuel_consumption_city,fuel_consumption_hwy,fuel_consumption_comb(l/100km),fuel_consumption_comb(mpg),cylinders_3,cylinders_4,cylinders_5,cylinders_6,cylinders_8,cylinders_10,cylinders_12,cylinders_16,transmission_A,transmission_AM,transmission_AS,transmission_AV,transmission_M,fuel_type_D,fuel_type_E,fuel_type_N,fuel_type_X,fuel_type_Z,make_freq,model_freq,vehicle_class_freq,co2_emissions
-0.8518991817234977,-0.7648929309366808,-1.042022351316884,-0.8564642894268517,0.7757860362049084,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.008130081300813009,0.0011158935118762952,0.1437908496732026,196
-0.5588986434765509,-0.3987255121378894,-0.6029850937146531,-0.4829236897041949,0.22214487521362397,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0.008130081300813009,0.0011158935118762952,0.1437908496732026,221
-1.2181498545321812,-1.8633951873330556,-1.4371558831588918,-1.7393784342258587,2.851940389922225,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0.008130081300813009,0.0003188267176789415,0.1437908496732026,136
0.24685283670255287,0.023775355706870126,0.011667066928469718,0.026449855372155374,-0.33149628577766044,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.008130081300813009,0.00015941335883947074,0.16005101227482862,255
0.24685283670255287,-0.1452249914310336,-0.16394783611242275,-0.1433413263199614,-0.05467570528201822,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.008130081300813009,0.000637653435357883,0.16005101227482862,244
0.24685283670255287,-0.20155844047700133,-0.6029850937146531,-0.3470907443505014,0.08373458496580288,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.008130081300813009,0.0003188267176789415,0.1563845050215208,230
0.24685283670255287,-0.22972516499998522,-0.4273701906737611,-0.31313250801207815,0.08373458496580288,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.008130081300813009,0.00015941335883947074,0.1563845050215208,232
0.3933531058260264,0.0519420802298545,-0.03223665883175321,0.026449855372155374,-0.33149628577766044,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.008130081300813009,0.0003188267176789415,0.1563845050215208,255
0.3933531058260264,0.2209424273677582,0.1872819699693622,0.19624103706427215,-0.4699065760254815,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0.008130081300813009,0.0003188267176789415,0.1563845050215208,267
-0.5588986434765509,-0.5677258592757931,-0.6907925452350994,-0.6187566350578885,0.4989654557092662,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.008130081300813009,0.00047824007651841227,0.1437908496732026,212
-0.5588986434765509,-0.3987255121378894,-0.4273701906737611,-0.4150072170273479,0.22214487521362397,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0.008130081300813009,0.00047824007651841227,0.1437908496732026,225
0.24685283670255287,-0.1452249914310336,-0.3395627391533145,-0.21125779899680786,-0.05467570528201822,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.008130081300813009,0.00047824007651841227,0.1437908496732026,239
-0.998399450846971,-0.821226379982649,-0.9542148997964377,-0.8904225257652749,0.9141963264527295,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0.003028853817949944,0.0003188267176789415,0.060736489717838356,193
2.004856066184234,1.5166117554250207,1.5482974685362776,1.5545704906012063,-1.3003683175124081,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,0.006217120994739359,0.00015941335883947074,0.04367926032201498,359
2.004856066184234,1.5166117554250207,1.5482974685362776,1.5545704906012063,-1.3003683175124081,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,0.006217120994739359,0.00015941335883947074,0.08480790690259844,359
1.1258544514433935,1.3476114082871165,0.977549033653378,1.248946363555396,-1.161958027264587,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,0.006217120994739359,0.0007970667941973537,0.060736489717838356,338
1.1258544514433935,1.544778479948005,1.3726825654953851,1.48665401792436,-1.3003683175124081,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,0.006217120994739359,0.0007970667941973537,0.060736489717838356,354
1.1258544514433935,1.3476114082871165,0.977549033653378,1.248946363555396,-1.161958027264587,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,0.006217120994739359,0.0007970667941973537,0.060736489717838356,338
1.1258544514433935,1.544778479948005,1.3726825654953851,1.48665401792436,-1.3003683175124081,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,0.006217120994739359,0.0007970667941973537,0.060736489717838356,354
2.004856066184234,1.5166117554250207,1.5482974685362776,1.5545704906012063,-1.3003683175124081,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,0.006217120994739359,0.0007970667941973537,0.04367926032201498,359
-0.8518991817234977,-0.7648929309366808,-0.7346962709953223,-0.7545895804115814,0.6373757459570873,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0.04192571337478081,0.0007970667941973537,0.1437908496732026,202
-0.8518991817234977,-0.3142253385689373,-0.4273701906737611,-0.3470907443505014,0.08373458496580288,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.04192571337478081,0.0015941335883947075,0.1437908496732026,230
